1 1.2732
2 0.4244
3 0.2545
4 0.1819
5 0.1415
6 0.1157
7 0.0979
8 0.0849
9 0.0749
10 0.0670
11 0.0606
12 0.0554
13 0.0509
14 0.0472
15 0.0439
